TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,LineCoverage,LineCoverageBitString,BranchCoverage,BranchCoverageBitString,CBranchCoverage,CBranchCoverageBitString,WeakMutationScore,WeakMutationCoverageBitString,MethodTraceCoverage,MethodTraceCoverageBitString
com.brmayi.yuna.Application,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.18716577540106952,187,35,0.0,000,0.0,00,0.0,00,0.19662921348314608,0000001111111011000000000000000101111111111000011000000001111110000000000000001000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,00
com.brmayi.yuna.config.ControllerThrowableAdvice,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.1881720430107527,186,35,0.0,00,0.0,00,0.0,00,0.19662921348314608,0000001111111011000000000000000101111111111000011000000001111110000000000000001000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,00
com.brmayi.yuna.controller.ExceptionController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.22807017543859648,285,65,0.25925925925925924,101000000000111101011100000100000011100000000000000000,0.4444444444444444,111010100011010000,0.0,000000000000000000,0.19662921348314608,0000001111111011000000000000000101111111111000011000000001111110000000000000001000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000,0.47058823529411764,10001111000010110
com.brmayi.yuna.controller.HystrixController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.18617021276595744,188,35,0.0,0000,0.0,00,0.0,00,0.19662921348314608,0000001111111011000000000000000101111111111000011000000001111110000000000000001000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,00
com.brmayi.yuna.controller.JacksonController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.25380710659898476,197,50,1.0,1111111,1.0,1111,0.0,0000,0.19662921348314608,0000001111111011000000000000000101111111111000011000000001111110000000000000001000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0,1111
com.brmayi.yuna.model.Pojo,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.22406639004149378,241,54,1.0,111111111,0.21739130434782608,10111010000000000000000,0.0,00000000000000000000000,0.19662921348314608,0000001111111011000000000000000101111111111000011000000001111110000000000000001000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000,0.625,10011110
com.brmayi.yuna.service.ShowUndeclared,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.19553072625698323,179,35,1.0,1,1.0,1,1.0,1,0.19662921348314608,0000001111111011000000000000000101111111111000011000000001111110000000000000001000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,0
com.brmayi.yuna.service.ShowUndeclaredService,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.2192513368983957,187,41,0.6666666666666666,110,1.0,11,0.0,00,0.19662921348314608,0000001111111011000000000000000101111111111000011000000001111110000000000000001000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0,11
com.brmayi.yuna.service.ThreadPoolService,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.1881720430107527,186,35,0.0,00,0.0,00,0.0,00,0.19662921348314608,0000001111111011000000000000000101111111111000011000000001111110000000000000001000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,00
com.brmayi.yuna.util.DemoHystrixCommand,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.1715686274509804,204,35,0.0,000000000000000000,0.0,000,0.0,000,0.19662921348314608,0000001111111011000000000000000101111111111000011000000001111110000000000000001000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,00
com.brmayi.yuna.util.ObjProxy,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.22872340425531915,188,43,1.0,1111,1.0,11,0.0,00,0.19662921348314608,0000001111111011000000000000000101111111111000011000000001111110000000000000001000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0,11
